,Energy Entropy Mean,Energy Entropy Max,MFCC Mean 1,MFCC Mean 2,MFCC Mean 3,MFCC Mean 4,MFCC Mean 5,MFCC Mean 6,MFCC Mean 7,MFCC Mean 8,MFCC Mean 9,MFCC Mean 10,MFCC Mean 11,MFCC Mean 12,MFCC Mean 13,MFCC Std 1,MFCC Std 2,MFCC Std 3,MFCC Std 4,MFCC Std 5,MFCC Std 6,MFCC Std 7,MFCC Std 8,MFCC Std 9,MFCC Std 10,MFCC Std 11,MFCC Std 12,MFCC Std 13,Delta MFCC Mean 1,Delta MFCC Mean 2,Delta MFCC Mean 3,Delta MFCC Mean 4,Delta MFCC Mean 5,Delta MFCC Mean 6,Delta MFCC Mean 7,Delta MFCC Mean 8,Delta MFCC Mean 9,Delta MFCC Mean 10,Delta MFCC Mean 11,Delta MFCC Mean 12,Delta MFCC Mean 13,Delta-Delta MFCC Mean 1,Delta-Delta MFCC Mean 2,Delta-Delta MFCC Mean 3,Delta-Delta MFCC Mean 4,Delta-Delta MFCC Mean 5,Delta-Delta MFCC Mean 6,Delta-Delta MFCC Mean 7,Delta-Delta MFCC Mean 8,Delta-Delta MFCC Mean 9,Delta-Delta MFCC Mean 10,Delta-Delta MFCC Mean 11,Delta-Delta MFCC Mean 12,Delta-Delta MFCC Mean 13,Skewness MFCC 1,Skewness MFCC 2,Skewness MFCC 3,Skewness MFCC 4,Skewness MFCC 5,Skewness MFCC 6,Skewness MFCC 7,Skewness MFCC 8,Skewness MFCC 9,Skewness MFCC 10,Skewness MFCC 11,Skewness MFCC 12,Skewness MFCC 13,Kurtosis MFCC 1,Kurtosis MFCC 2,Kurtosis MFCC 3,Kurtosis MFCC 4,Kurtosis MFCC 5,Kurtosis MFCC 6,Kurtosis MFCC 7,Kurtosis MFCC 8,Kurtosis MFCC 9,Kurtosis MFCC 10,Kurtosis MFCC 11,Kurtosis MFCC 12,Kurtosis MFCC 13,Spectral Entropy Mean,Spectral Centroid Mean,Harmonic Ratio Mean,Chroma Mean,Chroma Std,Spectral Flux Mean,Spectral Flux Std
Energy Entropy Mean,1.0,0.32946292360063045,-0.3380195845916128,-0.2762036890462002,-0.055389299670048804,-0.07496283116672442,-0.4534530137903624,-0.5365313518690754,-0.3408763658073951,-0.20084529707456536,-0.12998437003976535,-0.18356136719247731,-0.16831152736737032,0.009066892433208091,0.08815404308474661,-0.12297264548453628,0.08095174896088948,-0.20826325659310196,0.24899463845622286,-0.04151134469087177,-0.18232353582942826,0.10546910905554457,0.013613434930664385,-0.2766706695580116,-0.1464967685155442,-0.03602211672486131,0.2593680665075544,0.22548607075913563,-0.22500477094297844,0.0771318404452215,0.3106235133097415,-0.00398347948529158,-0.1313424462889725,-0.06210075823087591,-0.12111517824167681,-0.1342338309863821,-0.008000502601424394,0.051122683528880906,-0.034825157638054924,-0.005951446771371052,0.077100934738799,0.23115211777196912,0.15711710470812112,0.050094262570224375,-0.07665607707456797,-0.03673722067100868,0.20239228797960773,0.19860546613269828,0.004153175884479678,-0.025281884143786473,0.0818603160557041,0.08806408433738795,0.04410872742676666,-0.12820194221132292,-0.055197808031409654,0.23562499041057736,-0.026820025732980656,-0.061067015734970476,0.25674891385593274,0.26378447677310696,0.2995141245144974,0.15121039499629596,-0.0803035789420178,-0.011060592661880838,0.08322673041635766,-0.040633997605839585,0.10701719075324934,-0.0411864477763616,-0.18663875826652235,0.12580597713375474,-0.08818871147011768,0.16706137645735503,0.14359068620158155,0.28779194428800514,0.040961552745282716,-0.1098007579268709,-0.0355354857933897,-0.06409313185299066,-0.17401876918821158,-0.15340082941588976,0.10667513383204509,0.5767566266992831,0.33591273730513016,-0.6679287737227836,0.5686239224645279,-0.6274492937688788,-0.41599495617814813
Energy Entropy Max,0.32946292360063045,1.0,0.05741246118177275,0.09560292095619916,-0.22289979759633646,-0.20008280805523238,-0.039263148739053594,-0.1510549776557243,-0.2593051057555272,-0.22521311009140527,-0.11654766745394504,0.06841006840253011,0.04498020118829796,0.010983387543878391,0.023757071381538417,0.16177828369832797,-0.05907561349864587,0.12499371857443851,0.20355829220868446,0.15164713089899884,0.12075253721137484,0.10164831536221734,0.16690877918512628,0.02617229552121682,-0.006813633192828932,-0.01920559667596294,-0.0429056946016289,-0.06851834971117009,-0.13288762011704877,-0.11900892664928592,0.010647456371072844,0.15895912216118135,0.014625818503775269,-0.025103876918548537,0.006128141508733962,-0.008493414931362254,0.01008070027046525,0.029606703417659568,0.0037980860436691907,-0.008800017027747412,-0.004062985536969551,-0.03199949696293928,0.048107190190042,0.15174118139321616,0.04208915058515676,-0.06940814070631487,-0.025265921761586374,0.02528540208913708,-0.01032278077764628,-0.08272863829392704,-0.05694633426624477,-0.06131279436021253,-0.02134750445629704,-0.07316623429868269,-0.04653475378639595,-0.13455046370454798,0.12132264367528574,0.11980099670997059,-0.005575376953018049,0.04101604009921609,0.17741785614776368,0.1508779596024337,0.03423544891512589,-0.07590138593828165,-0.08476182896286108,0.024659737229634035,-0.009530104081879485,-0.010431974933921862,0.1452290698919102,-0.0988445522445968,-0.002008592411317182,0.01830460056403503,-0.015799617868754452,0.20046635677859495,0.17600849021824636,0.08859502527730453,0.04518791549976316,0.12562885677187668,0.06919714718474133,0.09946153323888882,0.22235474760128104,0.3308997451157259,0.1294193454472882,-0.18635522128561702,0.14212813726573806,-0.10784494702676282,-0.16283712482759305
MFCC Mean 1,-0.3380195845916128,0.05741246118177275,1.0,0.8704310977713416,-0.744024574128918,-0.7622488889690472,0.6504303219216666,0.6027676332310027,-0.3130343385695492,-0.5706840394396586,-0.4162195962307996,0.2732560530369635,0.16554132414303258,-0.24617515691148534,-0.23751357610397497,0.7991499936478369,-0.549467305718932,0.8938830882946904,0.24125934888322254,0.4703892048618705,0.7948436839591277,0.30612371480961015,0.602358657974699,0.6019993436545973,0.22534996135593718,-0.09145419415497143,-0.5877453050131305,-0.5117643199610225,-0.03954265201209648,-0.6462911259430664,-0.6025281570907798,0.266578049860607,-0.01837053058467296,-0.11270418668175217,0.08370461436700756,0.08868274609172505,-0.11097132333228804,-0.179777943663102,-0.04395779215185189,-0.08174727975824168,-0.22017800302471863,-0.6635082878096527,-0.10104703510338323,0.18340534053457302,0.5184441697425726,-0.07344591410503888,-0.5257066574494387,-0.3370835842490362,-0.0964118409473869,-0.16706422114884692,-0.2466334433035758,-0.31768291180883373,-0.146770038003235,0.025851917630167576,0.018480356788012714,-0.8679556873583646,0.6098137264513369,0.5235298049962285,-0.6449069676149413,-0.6363084078438995,0.027458436006721442,0.32485351531768897,0.29358401051911787,-0.09023957192066602,-0.22441741227506734,0.3349300343639134,-0.24286142559630525,-0.007769113852683196,0.8094002027393459,-0.7264510876469024,0.2376388036641669,-0.3501770497219642,-0.582753988746979,0.020997869088955023,0.5796423895870427,0.615078962365518,0.41770057485566775,0.45306792145721014,0.4836695135198384,0.5077969193150803,0.6272733040500353,0.20110988463235338,0.04641020217730395,0.2067591414011353,-0.38871945460797225,0.7686643102366744,0.20301923511308104
MFCC Mean 2,-0.2762036890462002,0.09560292095619916,0.8704310977713416,1.0,-0.8187910794816311,-0.8217261216400217,0.6681066873168544,0.5588727911245988,-0.3584215633385381,-0.6285925979490792,-0.5151326992744091,0.22730151175969932,0.21201958357042539,-0.15216557385436502,-0.15301067379064595,0.7274034406116532,-0.6329070158192519,0.92485223583792,0.2920725479828913,0.5188473007019533,0.7948232883308599,0.3164081106790755,0.5850040998682886,0.5838021473904683,0.2525172899116819,-0.0750691082862934,-0.6651673096626868,-0.602049947212251,-0.05835859618301891,-0.7104857569663778,-0.6293705866816435,0.3566314085883977,0.07397354789523095,-0.05187184968933533,0.10280854698705422,0.07072433202776365,-0.1260624695065099,-0.14387958061183456,0.001422107002462035,-0.038876374466482226,-0.20427115883195562,-0.6752890935653516,-0.06393771422129145,0.3311071021803292,0.4377281726401559,-0.12017887758269688,-0.5644679661298133,-0.3532219094085522,-0.15711670402890657,-0.21348377199312543,-0.2987412853677933,-0.3433119977874709,-0.1805102517143146,-0.022182121171569553,-0.2495725344262742,-0.9031531429056748,0.7478477916097337,0.5119195323746458,-0.7111844624195588,-0.6187203815675913,0.06267613895735834,0.39601343244194465,0.3843507087445323,-0.042606518745018425,-0.1859451970274911,0.2894951141927978,-0.2745766417285558,-0.26092334865602174,0.8543282334117275,-0.8446407554849901,0.20693790007910348,-0.46177364698493906,-0.5674717138637696,0.009665372723153588,0.6428498710670048,0.6665666511535573,0.4362182872616285,0.474388525407251,0.5001376442086661,0.5514739155261866,0.5763351876144002,0.19939555487873994,0.048832130839108916,0.2036178907817888,-0.43695112530792407,0.601083562284731,-0.08524225501284133
MFCC Mean 3,-0.055389299670048804,-0.22289979759633646,-0.744024574128918,-0.8187910794816311,1.0,0.9454462611569564,-0.5406523146332529,-0.2792268094819071,0.7031311810589466,0.8743843785243902,0.6578564438901535,-0.045058551010729794,0.10028655079287586,0.44204070185535593,0.3793599406649548,-0.7789868729793017,0.6835380843119989,-0.9071114518654573,-0.4275730986785139,-0.4537029700349456,-0.8047331246901681,-0.46742738028709924,-0.7041818031666149,-0.4271097763796515,-0.09381333974407427,0.1099318545900192,0.5755615157189047,0.5558252963649769,0.2824915443615182,0.8255031755479968,0.4688718310615645,-0.5275398133389512,-0.08809522913345451,-0.06298686395002193,-0.14319240297604247,0.08195775282161599,0.23804114036093738,0.11108349719379174,-0.030704038219042936,0.1101076177873674,0.29771552705664384,0.5960705837681706,-0.0714634514019833,-0.36326730632547577,-0.5028023151035156,0.19338242275918335,0.4751322618650628,0.27280618573957016,0.26201505336548137,0.2936839553641419,0.26707325986632663,0.3142988935118658,0.09858774351980573,0.0031564070534988013,0.2552624507656318,0.8570171613631268,-0.7318366385400246,-0.448671794406135,0.6409022384625465,0.526192414000284,-0.3483027510962035,-0.6327472082484141,-0.37867402083553464,0.09854950629596361,0.1367494029650706,-0.3835924810211522,0.07986448990156086,0.2650365476724321,-0.8182849774363271,0.8110047840513022,-0.13178573372975053,0.4678800244187069,0.5716908623333129,-0.1134550567931809,-0.7938622596782086,-0.6961282287666603,-0.38571780428323976,-0.5650087251136667,-0.45614114879621004,-0.5056653572670023,-0.7887461162488446,-0.6297551401235141,-0.24207899921838655,0.16659464414570982,0.09275265080573877,-0.30861024480101135,0.3096381830679989
MFCC Mean 4,-0.07496283116672442,-0.20008280805523238,-0.7622488889690472,-0.8217261216400217,0.9454462611569564,1.0,-0.35189547974129,-0.22497392860075868,0.6464930302314471,0.836528843549844,0.6935367531267375,0.05095720298947664,0.13824946957360992,0.44195802611226587,0.38020503410058865,-0.7447315272469953,0.6641888031430794,-0.8658082190542687,-0.40354412834152065,-0.42963765153602224,-0.7661641411089868,-0.4338064416715385,-0.6560004853707959,-0.46573475934308695,-0.07815613192303364,0.14687279732131242,0.5523115397824777,0.527594899294861,0.2862115970400678,0.766364766028974,0.40907166710188014,-0.46469958708367826,0.012062752143140306,-0.004634253960608313,-0.11592319860736837,0.1027014061657735,0.2624429641125669,0.1253497474457686,-0.00787560762395356,0.1303880840139286,0.3113250224043555,0.6052212894465959,-0.04091936750812864,-0.3302614141046087,-0.525235029552373,0.14740194391876227,0.4004012797973022,0.2272011196775055,0.25001739209309676,0.27253103261588935,0.2023296391511659,0.2605482856262474,0.09235174545242435,0.046645756197886544,0.18731270046756954,0.7945556035348421,-0.7012177094032105,-0.5004217670197433,0.5544196852616379,0.5571429171714453,-0.33571603979767456,-0.6391464287991785,-0.43719996927709254,0.04518517065199692,0.12720388746325867,-0.3978816427396453,0.05200512163573468,0.21267190823652746,-0.7709893551095615,0.785152379814496,-0.22320991318912417,0.4004715858752196,0.5591464990341657,-0.11366076399583566,-0.779744709290635,-0.7173545892202039,-0.41198446949731854,-0.5303408834260843,-0.4630903042811097,-0.5283972842299172,-0.7173414718029193,-0.6229445389776926,-0.1984124309534224,0.17584817600640973,0.0822868629781656,-0.34448575678468923,0.23618363120274893
MFCC Mean 5,-0.4534530137903624,-0.039263148739053594,0.6504303219216666,0.6681066873168544,-0.5406523146332529,-0.35189547974129,1.0,0.8173351749311659,-0.08883088219650499,-0.33360953178056346,-0.16847417809427867,0.4300713531635451,0.33651447152754593,-0.018207586886623533,-0.03464620609637661,0.5557915278074552,-0.3646731926701107,0.6867920767918942,0.09236831251657322,0.41920366916187896,0.6507312496097652,0.2373108359803269,0.47707470255824674,0.44280537376588863,0.2867352513997241,0.04906997900872818,-0.5077290698013266,-0.4345807646473696,0.13372001640672102,-0.5190346316985757,-0.690526962979841,0.1987069617651295,0.22032634796715486,0.018021091563371002,0.13571851141877617,0.2322300609689172,0.03575726654732434,-0.1394561590095405,-0.03821689206708264,0.03741863829413862,-0.053032378931685505,-0.5559958963199969,-0.1400492890267994,0.12674531424889937,0.32533368979734495,-0.04335129326105254,-0.5725885831733311,-0.39238116265648104,0.00034674770389875293,-0.056995269713385324,-0.2810051850050122,-0.3405700624127664,-0.19731375496259881,0.06024176576504264,-0.2306051627003178,-0.7221992228027939,0.5595278345434247,0.25770441828261653,-0.7395551559247239,-0.4870705133307025,-0.12247991662443787,0.0633991514052846,0.07876094724421065,-0.12511736704067838,-0.1868820271090085,0.1269832468330741,-0.3357747274573049,-0.2146177197536935,0.6507956864812734,-0.6122476821227261,0.019852029523618645,-0.4281119951572945,-0.4469132288071836,-0.09365060609923208,0.34423115138031984,0.3790535921407925,0.33804002913239484,0.3379853744355811,0.349503060808725,0.35236928861134564,0.39165653950179935,-0.10055942149781359,-0.037588803323968877,0.27928241159447975,-0.4043514115511934,0.5179375719892308,-0.027566297674061643
MFCC Mean 6,-0.5365313518690754,-0.1510549776557243,0.6027676332310027,0.5588727911245988,-0.2792268094819071,-0.22497392860075868,0.8173351749311659,1.0,0.36204791645399126,-0.02679896984663981,-0.11461297351017702,0.32272300716503954,0.4451929340899931,0.20580346291722829,0.1506533011779675,0.4029103824833341,-0.18806106302583137,0.49773152450259434,-0.010192992055290355,0.3549706445968809,0.5356265317122826,0.06283123464325364,0.2810852831143207,0.5255434566663331,0.38114334049147486,0.07218740022953248,-0.4102438258253698,-0.29540870860744206,0.28629309078419524,-0.27882615801861554,-0.6527473343521776,-0.055899306292102366,0.10801081846903307,-0.0710577147421894,0.10064511567511573,0.32746633777494966,0.11145649195266935,-0.17783044136696685,-0.12403941670137474,0.04527361213319417,0.002497969580520844,-0.5297121036136231,-0.27109460184072726,-0.06853880174700146,0.2984477384340663,0.10249302803676574,-0.4784484065998015,-0.3723864056209624,0.13370338467730986,0.10637246738087873,-0.15191444516416688,-0.25459630545768935,-0.22551153321456197,0.010388003314831995,-0.08132855328146525,-0.529572742498147,0.4577398836471981,0.30595075998517013,-0.5935727434513178,-0.5029178566368186,-0.37658467428120657,-0.18318309726032078,0.08826775741203864,0.01203267029591245,-0.18988545744651797,0.024245022230840636,-0.38553420445379116,-0.0813497981898624,0.4854737202802438,-0.47785913195434704,0.15558722175331235,-0.2434902222460928,-0.3876664962189648,-0.11351071247975662,0.11789457303524807,0.3081275523690933,0.37480465692091947,0.1685935122235192,0.28650428987338755,0.3083132924260097,0.10474804181856151,-0.30560179960831924,-0.20530520609006586,0.3552146522004216,-0.4242503131871827,0.5705708152805469,0.14120457500880143
MFCC Mean 7,-0.3408763658073951,-0.2593051057555272,-0.3130343385695492,-0.3584215633385381,0.7031311810589466,0.6464930302314471,-0.08883088219650499,0.36204791645399126,1.0,0.8637070866201594,0.4473853530281515,-0.016769690094973477,0.314411374397252,0.5802736519228313,0.5243730176695443,-0.48524772323956794,0.47597430049197526,-0.5077532979100291,-0.29367355644387844,-0.12841598285876374,-0.3888183900240546,-0.4500567382604607,-0.5361001077681478,-0.047673191377429536,0.20366901738552562,0.18284889930431947,0.22529874184528045,0.29844170797491504,0.41576516471489466,0.5516156045270706,0.03407565674455052,-0.47752120126716796,0.004962791101449915,-0.0665212512156116,-0.03699905825866739,0.27560329201316414,0.2802945328839968,-0.0010828114566373774,-0.09198301831280799,0.13090889262368682,0.25196030834798727,0.22400687227361235,-0.2029616485807285,-0.35199724944201766,-0.31396889257998933,0.18786398308677893,0.09424941634096853,-0.026501000315834775,0.2634085780556657,0.3137306910432896,0.15297354754605327,0.14815195754799054,-0.03550693667814162,0.0009566147624404992,0.10537183924876943,0.43824267398563704,-0.3211535736113275,-0.15307041563877063,0.2613548903410682,0.22160531636159517,-0.6096315303155707,-0.675571819759466,-0.19005972933399115,0.21249607633998077,0.05531749280700181,-0.3366363359903742,-0.19250295250064312,0.11967342216880987,-0.4229947571051067,0.3927159810912623,0.032526617191102135,0.30196319986782344,0.2953375401950076,-0.13768383776259738,-0.6383584206364693,-0.38556104312198397,-0.08098868235564347,-0.454263648897321,-0.2249644723794532,-0.243191970266034,-0.7081876952297971,-0.723487484036208,-0.33076901744780834,0.3414141196341119,-0.13553503680818527,0.029873481933679922,0.2868308040751954
MFCC Mean 8,-0.20084529707456536,-0.22521311009140527,-0.5706840394396586,-0.6285925979490792,0.8743843785243902,0.836528843549844,-0.33360953178056346,-0.02679896984663981,0.8637070866201594,1.0,0.7603163435870982,-0.01494399577101217,0.06715847402808515,0.432448778956293,0.4643745572101477,-0.6647546645624585,0.62118624045628,-0.7448974963459098,-0.316219584195748,-0.22250237026878678,-0.6743495264783095,-0.4445500653353464,-0.717597056884883,-0.36915158323463804,0.013237822363771364,0.15813765713191133,0.39886308634720313,0.42558651128337754,0.36933692869609736,0.7108227262619226,0.27243938797064116,-0.4891812276743644,-0.04817784017657447,-0.06977761479438149,-0.0848104496102148,0.19629470450802128,0.2937260130575529,0.07654674111645089,-0.05002222291408781,0.13918403651093825,0.2996129181056493,0.4605805500965415,-0.10358632166384207,-0.3550286262788601,-0.47656202709058465,0.1600922139169002,0.26971315384471295,0.11724482350869678,0.23342718288635628,0.2900475496092412,0.2193039954313371,0.28814446535673677,0.09026562974788006,0.04764983230047565,0.15034212174675127,0.6649771486068226,-0.5483410279820797,-0.34119139574091084,0.48327766514306963,0.44711661623361176,-0.4722122534368431,-0.663707549094141,-0.40075790892513635,0.1531821603275424,0.2177099519581265,-0.31180789112948365,-0.07295182979268423,0.1673009577300714,-0.6506852012813674,0.6221765839289253,-0.08956045749678643,0.3906468112360315,0.5414616346256291,-0.1409591084407823,-0.7126402410967598,-0.6513747990504898,-0.23941285330716575,-0.5595819872210535,-0.2992186589511769,-0.3853657486809486,-0.7213338661431411,-0.6928544059688536,-0.29823744193168733,0.24599919081102561,0.017978095572467725,-0.16907843817313895,0.2869945494980311
